Y,X
780,954
1192,1154
1060,1768
1224,1156
1206,1254
1208,962
1060,890
1308,1110
816,1316
1196,1016
710,1224
906,1028
806,888
1262,1098
710,998
1070,1812
658,990
1032,922
1232,1328
1120,1174
1152,1768
1220,1380
1116,916
1124,942
692,998
880,908
1246,1462
1172,964
1158,1692
1164,1652
1152,1734
1344,1180
970,956
1206,1138
1142,1576
592,1290
1094,1716
1292,1408
1342,1574
1180,1074
630,1000
958,892
884,1446
1158,968
1326,1632
998,1394
836,902
1056,1746
1246,1418
626,966
1150,1716
1050,956
594,1706
952,870
1048,908
716,924
936,1634
1182,1640
732,1370
1340,1328
1040,1156
1214,1540
956,1240
1192,1468
1126,976
1046,1432
1032,1558
1380,1246
618,1004
1384,1216
732,1344
1116,1068
1354,1286
1340,1234
1188,1202
1224,1432
900,1742
1208,1746
1228,1600
808,1014
1064,1178
1162,1048
986,1076
1232,1226
944,966
406,1358
424,1486
1370,1256
986,1060
868,870
1392,1236
1288,1606
824,1508
876,1464
744,1028
676,1012
950,1162
744,1180
926,978
1198,1038
608,1388
1096,1512
824,1122
1020,1328
892,1066
1080,1020
944,1554
426,1256
1034,1268
964,1076
764,1648
664,1234
604,1348
624,1692
