Y,X
320,1272
370,1034
1328,1250
1228,1534
1138,1642
828,1322
488,946
964,1336
1004,1198
942,1112
994,1714
1184,1596
894,1416
416,1554
404,1148
480,1098
1044,1370
486,898
498,866
384,1506
502,1088
426,1588
508,1190
896,1742
972,1066
1122,924
1140,1152
788,1060
1170,1124
660,1586
940,1712
518,1618
1062,1692
1286,1258
580,1260
814,1262
332,1372
450,1046
364,1212
518,1436
402,1404
380,1468
786,904
658,1370
1158,1606
1204,1328
692,1734
336,1322
712,1712
780,1616
532,1508
1134,1456
1198,1368
1040,1490
1162,1628
882,784
530,1394
332,1144
724,1152
990,1164
378,1368
554,1452
1034,1610
1126,1612
872,996
738,944
510,1676
594,1012
662,960
882,1630
558,904
676,1174
614,1534
1090,890
936,886
812,1164
1014,1704
876,1114
1120,1644
1000,1472
888,1584
828,1474
964,1706
398,1386
896,1214
992,1636
874,880
988,1662
614,1706
880,1686
760,1488
1246,1252
584,1586
806,1076
912,1358
414,1314
744,1688
1172,1486
1068,1052
522,1634
508,1270
742,802
866,908
960,1250
962,1412
1128,1498
970,876
1010,1268
1136,1328
1088,1304
604,990
930,1028
1314,1250
922,1564
1186,1274
1208,1492
1158,1538
976,948
948,1576
838,1010
832,1702
420,1500
686,1334
460,1606
862,1420
850,1264
508,1566
686,1710
750,1156
922,1098
884,1294
1084,1018
638,1032
520,1664
1002,824
780,1666
1072,1432
1140,1000
650,920
964,1366
944,1668
978,1348
866,1398
454,1406
838,1292
860,1726
574,1130
954,996
826,1222
986,1376
1182,1402
1118,998
1026,1064
624,1174
862,1032
892,1172
1114,1120
1062,1470
1240,1458
1066,884
1058,1544
500,1152
438,1276
964,1388
714,800
920,1262
452,992
626,1586
904,1078
798,1442
930,876
884,892
924,1658
632,1696
922,1700
1064,1364
832,862
1088,1036
838,928
742,1208
862,1456
726,1664
716,1080
1220,1142
944,1220
618,1356
852,832
772,980
878,1418
476,932
436,1168
712,1284
1076,1244
1180,1158
732,1518
780,860
624,960
764,1582
408,1236
1032,1332
520,1312
1150,1092
612,886
492,1396
1264,1308
