Y,X
682,976
548,1004
1256,1318
602,1782
1086,1438
1340,1292
478,1654
986,1258
1144,952
1190,980
1024,1580
438,1584
1268,1230
1266,1248
866,910
1302,1246
1232,1178
830,1334
1032,1024
1120,976
880,1174
1020,1662
714,1528
586,1320
824,906
434,1552
804,1224
1214,1118
810,1322
414,1210
1160,1212
672,1482
862,1576
872,1848
566,1312
714,1218
860,1754
924,1684
692,1412
756,1506
1046,1462
664,1802
762,1614
824,1146
1068,1546
954,1284
1238,1426
620,970
852,1342
1164,1184
998,912
896,1340
588,1238
768,1262
940,1840
874,1816
784,1310
1102,1118
552,1258
1252,1046
644,1046
1254,1660
1032,1208
404,1298
1048,1660
768,936
1186,1618
1356,1364
988,1070
784,1202
980,1418
682,1788
1134,1272
402,1358
700,1770
662,1106
1220,1640
912,1638
1018,1450
916,1146
422,1224
1014,1270
448,1596
986,1552
1074,1810
690,1034
848,1562
998,936
616,1026
570,1228
896,1666
456,1220
1160,1150
400,1460
786,1802
836,1518
1232,1372
1166,1700
952,1712
836,1782
1124,1144
862,1270
1104,1354
748,986
620,1076
540,1302
994,1246
864,1238
1344,1230
616,1330
974,1032
584,1426
898,1052
500,1172
856,1156
640,1624
684,1396
1326,1598
956,1230
1156,1756
1180,1560
508,1636
490,1484
1034,1840
1316,1530
918,992
918,1468
1078,1722
1166,968
