Y,X
960,1078
624,816
352,1066
1130,1010
1110,1380
700,716
560,1304
358,1274
1104,1336
1184,1330
880,680
668,1552
920,1242
604,1208
870,812
610,836
1084,826
908,1534
1130,782
882,922
590,780
492,1252
1274,1148
630,1556
862,904
338,912
996,846
684,984
568,992
768,1252
762,1236
1094,734
1106,858
760,1266
620,776
1038,778
1120,1184
664,890
764,678
1044,1260
986,684
1202,1024
758,1142
350,1178
1152,776
642,1056
1226,898
1006,1230
952,1144
510,1274
578,1432
860,1552
754,1154
1126,1468
742,1210
376,1064
818,652
996,1156
332,1284
944,926
832,1410
330,1022
1056,1408
712,680
1168,1044
802,1308
798,1462
364,1240
440,1120
584,1490
1000,1422
440,1330
436,1358
1140,800
806,886
692,834
1206,1244
622,1022
1260,1276
1020,974
998,926
644,1136
1010,696
836,1602
622,1214
1136,1474
878,1404
1018,1296
796,1362
304,1166
992,1556
456,1436
736,774
870,860
808,794
854,1440
860,1110
918,966
934,1568
1006,1064
1010,1314
428,842
798,1180
1072,804
1072,1224
410,932
982,920
912,688
660,1174
452,1386
814,1208
462,908
348,1316
1064,1286
1162,1338
338,1222
1044,1112
958,1412
1166,1436
514,862
748,798
306,1062
304,1232
476,1044
610,950
698,848
496,1456
922,1130
1090,1360
714,1130
1086,1148
544,836
762,1594
536,1524
340,1146
984,1434
622,842
840,1422
804,766
1052,1346
1122,892
586,910
606,1158
1032,1380
728,994
406,1268
1224,868
656,654
360,1358
1092,1282
516,766
940,1550
600,1384
932,1222
1254,998
870,1310
530,886
300,1206
614,974
676,774
820,1032
552,1360
366,1294
1160,1296
1150,854
1112,916
1246,1040
654,838
898,1246
836,1272
656,902
636,1232
756,958
964,1338
1250,1176
1082,760
716,1532
1088,1432
890,892
1130,966
714,1500
858,664
648,954
694,816
660,684
1010,1400
736,1102
928,714
886,1260
874,776
1058,1468
400,804
1130,994
618,956
492,1382
1254,960
406,1210
1106,882
654,1044
612,1048
794,670
964,1322
1048,1442
1068,836
886,1142
676,1068
672,906
988,802
1020,1164
1214,1190
490,1278
570,1346
880,1364
764,726
884,1040
380,1378
1106,834
400,1110
534,1176
626,1124
548,1504
1008,774
846,1578
680,798
428,1266
510,1396
1208,1110
588,1020
908,1408
814,1468
952,1202
860,1576
1066,1144
558,880
1094,1500
1010,1268
772,924
668,932
592,852
572,948
974,1378
1172,1392
724,900
1146,1300
354,1198
974,1454
1100,800
606,968
600,1142
518,1442
784,1080
972,1082
896,1024
988,1316
324,968
878,1336
848,786
652,1322
1066,1360
950,1072
1006,722
944,962
1224,1066
674,852
1150,896
918,1228
508,1030
872,828
502,1374
764,1042
546,1428
760,1112
1148,1148
708,1220
484,758
528,1238
364,1190
1086,980
818,1404
1044,842
558,1160
582,1384
326,1158
672,1440
680,1568
358,920
686,1222
718,1310
394,1026
472,1168
