Y,X
934,1504
620,1180
452,1552
578,1282
1228,1118
582,1292
1070,1656
884,1626
1076,922
624,1020
1338,1140
1062,1564
1298,1336
844,982
724,1106
940,1072
1170,1096
676,822
1280,1486
634,1694
1204,1270
918,1486
1146,1624
756,1530
1330,1378
1040,1322
582,848
1160,1164
1052,1292
1000,1228
1276,1098
896,904
494,1064
880,1474
796,1714
978,1358
958,1618
1256,1458
412,1320
562,1602
894,764
480,1564
512,1366
1046,1132
1238,1548
430,1204
1266,1378
1124,1602
1142,1442
1078,906
1142,1072
1260,1522
1040,840
1194,1072
936,908
752,1136
376,1376
912,1008
1022,1588
956,1148
548,876
458,1154
852,1656
952,1506
388,1198
1006,1718
820,1340
656,1442
1138,1122
1222,1388
488,968
960,1572
712,1064
1160,1442
728,900
1014,934
776,1616
800,1200
1104,1456
1020,1014
1104,1664
574,1648
1212,958
1300,1390
1072,1256
1134,1558
464,1434
556,974
844,948
1038,1484
860,900
1220,1172
708,1394
