Y,X
624,1728
1298,1260
822,1498
852,1030
620,1340
1000,1754
336,1252
562,1702
1336,1294
1264,1222
1010,1256
1152,906
1016,1050
816,934
1294,1492
882,982
1162,1368
670,1510
820,858
740,1382
872,834
502,1174
632,1668
386,1512
624,1606
500,1132
950,1392
1038,1664
1132,1702
1162,1588
754,1326
522,1614
674,842
1298,1088
546,1316
410,1400
608,1306
690,1552
856,1108
824,1052
1046,928
1230,1154
914,894
896,1204
1290,1400
840,1252
654,1480
636,900
744,1300
656,1708
1096,1114
456,1072
1040,1130
900,994
1084,1506
1020,1388
836,1262
634,1032
1056,1290
770,838
632,1704
426,1294
1040,1568
588,956
810,1758
1198,1474
1296,1460
408,1516
492,1580
532,1692
656,1340
632,1334
732,1558
674,1636
698,1308
772,1588
1330,1364
1088,1122
1002,880
1252,1524
1030,1014
840,856
544,1646
1092,1484
376,1214
762,846
1130,1656
958,1134
454,1016
948,862
628,1286
850,1632
1064,1564
806,926
392,1458
1168,934
742,908
944,980
744,1054
1000,852
580,1288
384,1180
510,1098
704,1672
1292,1128
1084,1312
638,1270
658,912
882,1244
1250,1582
1224,1208
828,1190
922,826
894,1778
956,1072
944,922
546,1668
674,1276
1310,1432
1278,1480
1024,1670
640,1098
924,1124
506,1140
408,1480
1296,1380
860,1100
1240,1348
1002,1688
362,1250
588,1262
862,974
760,1102
658,1296
1256,1366
508,944
960,864
848,1090
684,1342
628,1024
686,998
992,1566
1066,948
792,1612
1008,1714
1308,1446
1222,1192
1264,1086
542,1572
400,1108
1112,1202
666,1724
1300,1186
942,1760
734,876
1134,1578
748,1348
958,1400
550,1012
1174,1594
1190,1318
750,1736
412,1360
574,1458
1036,872
594,1164
1088,912
1058,1130
1066,1434
1070,1038
496,1622
824,1468
650,1724
1178,1666
810,1520
536,1078
368,1158
888,1076
1018,1284
970,1184
588,920
664,1386
686,1740
358,1262
382,1478
724,1228
1128,1614
1290,1344
638,1456
626,910
1256,1116
620,1208
950,1160
656,1254
1140,1348
658,1674
532,1334
822,1604
890,1192
1084,1638
438,1554
756,1442
914,1720
784,1528
788,1166
1098,932
1024,1002
962,1770
1196,946
1316,1282
692,1058
392,1284
806,1536
798,1204
656,1106
566,1102
1130,1540
1036,1182
1234,1436
808,1020
980,1160
1286,1156
1112,1446
800,826
738,1578
1170,1002
836,820
1216,1590
1132,1556
758,1510
686,912
1126,1192
1072,1486
586,1024
1256,1542
664,1642
772,1164
1156,958
536,1408
794,1714
554,1210
730,1272
478,1222
524,1682
962,1576
708,1412
1018,1588
636,1440
1154,1540
1108,1332
808,1112
1072,926
1086,1444
1190,992
734,1528
690,882
950,1420
754,1292
1106,980
1072,1550
1102,1124
1180,1388
1074,1024
1314,1250
1026,1416
906,1544
800,1310
914,1156
738,1152
1088,1526
468,1076
606,1708
924,1044
1046,1090
718,1044
912,1408
1096,896
612,1452
874,1676
610,1222
1184,1572
784,1558
682,1616
1300,1244
784,1012
954,1210
552,1560
1070,1272
640,922
696,950
880,1754
668,1034
952,1118
628,1448
926,1530
672,996
928,896
596,1428
1058,1516
574,1360
762,896
976,1278
1076,992
804,998
490,1298
570,1684
840,1584
474,1438
488,1352
836,942
612,940
1116,1614
414,1094
1180,1268
546,1620
712,1634
432,1052
956,1596
686,1642
932,1496
992,1642
834,1426
1148,1220
1102,1598
1098,1614
490,1152
960,1386
544,1250
526,926
692,1084
708,1008
590,884
584,1538
850,1748
1048,1540
1172,1452
1108,1316
1012,1502
916,1696
1088,1382
634,1076
916,1250
476,1028
514,1312
500,1200
600,1472
674,1012
888,1352
560,1544
1074,976
600,1016
