Y,X
1126,1544
1112,758
732,1600
1340,1498
836,1412
934,1664
652,1050
1060,1654
594,1456
758,1588
858,1346
532,1464
984,1604
672,1630
1254,1558
1036,1656
964,1340
594,1536
814,1574
658,1170
1018,866
858,1288
1388,998
1188,1596
1330,912
896,1644
654,1220
800,1392
654,1512
444,1256
566,1552
1026,830
842,1554
1076,1650
1080,1098
754,1282
868,1658
472,1426
464,1110
638,1308
748,1590
792,1620
916,1654
966,1606
860,1418
720,1410
1062,1080
1066,1566
1364,1066
1050,1568
1396,1196
856,1192
898,1622
772,1104
992,1402
762,1328
1008,868
924,1106
1026,1582
756,1612
834,1630
1060,940
1420,1240
846,1540
1248,1172
606,1362
980,1664
756,768
1176,1308
710,1094
1340,1074
954,1458
1124,978
1324,1312
710,886
1132,784
916,1162
1000,1614
932,1710
520,1196
962,1274
648,1034
744,1262
572,1496
1088,1226
1004,1666
1166,1644
874,1114
754,898
958,820
796,1442
946,1642
1172,1028
1276,1546
772,1386
848,1058
1152,1014
610,1316
1088,924
518,1264
1294,1316
482,1420
774,1530
1040,1444
966,778
606,950
800,1314
616,1236
1158,788
1090,1512
804,1648
638,1528
1092,868
822,1112
1394,1216
734,1370
640,1368
1182,1014
1140,860
688,1044
1280,1178
1078,874
906,756
768,1354
848,804
836,1066
794,886
664,1300
922,1056
480,1316
656,896
966,1484
696,1618
874,838
1330,956
512,988
906,1468
658,930
940,1492
1402,1124
950,1258
1354,1096
724,856
876,1688
660,1536
468,1246
1124,1388
962,1242
1118,1626
1292,1166
1306,1352
926,1014
1154,1186
710,1556
760,850
1100,960
1120,924
1398,1382
470,1122
1410,1272
658,1198
776,1060
1018,1456
1160,1228
814,1102
962,1204
1226,1624
668,1000
574,1216
650,1268
1040,758
906,1498
1256,1044
772,1076
818,990
702,1364
1230,922
796,1240
714,1480
870,1574
626,1108
1108,1438
860,864
632,1576
1288,1538
1296,1382
1034,1038
470,1382
1210,816
1404,1164
860,1690
774,798
1322,1380
1172,1610
1180,1360
1294,906
1166,1628
1286,948
564,954
1144,1500
594,988
808,1280
1000,1234
712,902
1340,1406
766,1016
602,874
698,1324
572,1418
692,1272
952,770
838,1044
544,1228
1208,918
906,1172
1186,1640
1140,812
538,946
1356,1468
704,1262
1194,1254
1344,1376
576,1256
1014,1080
1248,1348
756,1096
972,800
1196,954
596,1196
966,1152
460,1184
722,940
1020,1016
1326,1058
1342,970
1088,774
1018,1648
1356,1426
1332,1490
1026,936
884,1668
1066,1356
1152,880
640,1500
1350,1448
496,1102
694,1070
1134,1120
474,1210
1078,1210
1260,1362
722,1638
944,1220
1234,822
928,1384
1088,1598
1184,1140
908,1582
1044,1492
912,1548
1222,1100
1378,1408
694,1224
1270,1572
1116,1050
1338,1040
714,1230
1302,1294
800,826
1298,1208
1136,1608
770,1598
1168,822
622,880
640,854
660,1414
780,1244
568,1086
882,1158
856,1324
1282,1470
1224,1230
1424,1262
1152,1630
1042,1380
918,790
1168,874
1430,1158
510,1160
1104,1664
868,1132
850,1358
1284,1042
1216,890
1126,1468
860,1502
1336,1260
1068,980
782,912
640,1018
976,1312
1368,1294
1232,940
680,870
1110,1012
952,1548
1300,990
660,1354
602,1264
954,956
1246,1424
836,752
652,966
780,1624
1072,826
614,1160
936,874
704,1344
1240,1242
992,776
1200,974
1192,1316
890,1104
722,1044
988,1506
1184,1088
448,1280
1108,1244
998,1352
882,1418
670,1146
934,1140
1104,1614
742,1576
1246,1078
1086,1546
930,1598
856,1088
1120,810
732,1230
1220,1298
878,864
584,892
788,1198
704,1300
1008,1496
906,1152
1034,1546
554,1132
846,1028
706,1058
500,1192
864,1624
904,1432
1184,978
1010,822
890,860
1040,1102
1224,1444
1108,846
730,1310
578,1018
542,1248
874,936
822,1346
454,1120
658,1472
838,1452
678,924
1268,1160
1220,1524
830,1356
