Y,X
928,1014
950,874
494,1544
418,1286
658,1634
592,1218
1252,1192
702,1050
662,1132
796,1514
438,1374
600,1274
1100,1540
1102,1630
1158,1234
792,1442
528,904
1324,1034
552,1578
450,1240
1114,1332
816,1400
532,1370
998,1604
524,1476
1144,1286
1022,1630
420,1232
440,1238
1126,1480
408,1348
546,1464
966,1470
936,726
1122,1178
1348,1170
598,858
700,1394
546,1368
1270,1470
1146,1390
814,872
1010,760
388,1354
770,834
584,1494
648,928
646,1506
792,734
790,1276
684,1598
506,1476
792,1364
532,836
1318,1342
882,938
798,1248
1050,756
1224,1418
1072,1290
504,1028
1228,1374
452,1134
1150,1406
910,1198
524,888
466,1518
396,1320
562,920
592,924
916,1430
788,1072
474,1294
888,1146
964,756
488,1184
674,854
432,1354
1250,1354
776,1166
1344,1332
726,1588
648,1584
1044,1620
510,860
860,1144
1268,1222
648,820
1154,1274
966,1254
1298,1170
624,1440
1098,1472
774,800
774,740
436,950
686,1248
940,1072
898,1032
776,1340
962,858
428,1242
716,1064
520,1002
828,1146
902,1414
564,1444
1266,1040
824,1098
734,1548
932,1170
1174,930
878,1350
672,1040
1296,1022
1016,814
562,1586
520,1352
1110,942
988,1526
708,1180
504,1546
1226,976
898,804
702,1126
1042,1248
798,1040
464,1328
566,1392
546,1412
696,1568
740,932
1030,922
770,876
482,1044
1254,986
1008,1122
1076,1630
724,1468
522,1392
774,1028
992,1290
1074,884
690,1634
498,1350
1032,1054
1198,1056
966,1630
434,1426
496,1244
1250,1176
802,1336
388,1202
1212,1542
1088,1098
1224,1166
624,1612
1246,1046
1254,1408
526,940
1038,1000
992,1492
560,960
800,852
1238,1450
990,1570
1262,1200
636,934
1270,1134
760,1382
1136,1336
532,1578
422,1326
506,1452
422,1368
898,890
982,860
1234,1002
974,1096
528,1308
830,1176
1196,1512
838,780
762,752
926,784
718,1170
906,1138
930,930
598,1536
484,1008
764,1604
678,1464
744,1200
982,1182
952,980
578,1470
1150,974
1234,1314
552,1486
1092,1030
912,1336
628,1100
1130,1524
1134,1080
850,1266
1296,1136
784,1458
928,1132
488,1460
820,1642
634,1236
1298,1244
688,1326
1334,1298
1146,1198
1238,1208
634,1422
544,902
1020,1600
1114,1484
612,830
1022,1278
598,1406
942,888
790,1558
860,1432
942,1584
1108,842
910,930
664,1160
654,970
1160,1506
934,1602
736,1102
796,1010
946,1564
970,1606
912,1114
780,1572
780,1664
882,1472
886,866
1184,822
1082,1466
