Y,X
726,894
476,1050
1244,1516
520,1362
558,1566
906,1044
784,1356
1268,1366
714,1120
1244,862
512,1212
1202,1026
1202,836
1166,920
1258,1326
506,902
388,1132
470,992
1156,916
1376,1104
1338,1006
1050,1150
784,1306
1332,1378
816,1634
664,1308
874,1356
1226,1152
912,1404
568,1564
816,732
584,882
486,1046
1268,1414
1346,1334
1162,1356
1326,1338
456,1170
594,826
954,1454
758,756
508,1520
414,1070
1144,1322
1214,1102
1002,1396
862,844
1116,1548
890,1354
1016,1310
1062,1610
1286,1238
930,1200
836,1198
528,1122
1252,1216
1304,1264
930,1414
412,1248
1138,1542
942,772
924,1668
1382,1202
658,1080
1062,1036
1068,916
650,1276
484,1074
1266,1496
722,1534
504,1106
456,1150
496,1188
544,1136
1032,1000
562,1256
820,1082
1098,1622
430,1388
1240,1142
1284,1166
1326,982
1196,1032
860,912
690,1016
740,1536
430,1146
672,852
444,1284
1078,1488
1342,1190
1308,1214
1090,1138
852,1376
1030,1662
1308,1316
866,768
1370,1080
400,1138
1172,1534
1138,1362
794,860
870,1258
584,1550
1070,1488
646,1156
1230,978
568,1006
750,894
858,1284
910,888
1178,802
1216,1502
1284,942
616,1344
648,1562
640,1396
1094,1038
670,936
900,1254
602,1430
1148,1618
538,1288
1264,1516
1256,1434
1038,760
734,1194
838,1628
690,1550
1354,1056
912,1320
1142,814
406,1286
624,1546
642,798
1322,1018
776,1124
680,1376
598,1390
996,884
1362,1238
1240,948
494,1318
834,848
1376,1218
1018,932
1300,1438
1042,1162
848,1594
1374,1162
644,1354
516,898
1074,850
864,1486
1136,1430
452,1010
944,744
970,1114
434,1266
422,1104
494,1140
868,746
810,1206
1168,1606
780,1434
582,1602
652,874
710,1580
636,1324
792,1378
512,1054
1324,1270
406,1340
636,1026
1032,924
718,964
1112,944
626,1516
1226,1368
1026,906
1180,952
988,1280
1176,820
824,1256
850,1274
998,754
736,1604
472,1312
1140,784
674,1314
648,1212
1004,1528
672,974
538,1512
1182,1572
798,1662
814,772
702,1608
558,1194
814,1668
1168,966
812,758
592,1352
892,1062
1026,1468
462,1140
514,1012
1350,1348
756,798
1158,1564
1056,1312
986,1172
1052,992
942,1236
532,998
1292,918
628,810
624,798
550,1232
624,1480
808,1324
876,756
1298,1346
704,1062
968,872
432,1210
468,1482
1232,838
744,928
880,1118
434,1244
1150,908
638,1100
1184,1548
594,1336
606,852
704,884
582,1584
778,1342
972,1426
742,752
778,1504
842,738
1208,910
948,1406
722,1120
900,744
708,1306
714,974
506,1280
696,1196
1116,1576
1312,1452
1230,1544
766,1344
732,1396
1372,1120
1086,1604
902,1660
1224,1510
446,1326
1138,1530
772,1458
680,884
678,1264
786,756
808,1428
644,1232
502,948
714,1638
1272,1074
1288,1412
878,1626
940,1374
1230,872
968,1302
806,1382
1050,1570
1200,894
744,1578
562,1176
772,1034
1158,1368
1250,1480
1022,1616
1178,1266
1062,884
1182,1396
1102,1476
592,1510
652,1112
796,798
600,1490
1150,858
772,1662
680,1148
934,1400
1194,912
898,1348
620,1454
748,1608
508,1130
968,1494
1284,958
1042,784
1086,1406
854,718
982,816
432,1094
1228,1486
810,1622
1210,1342
1072,1368
758,1618
1352,1272
1286,1258
548,1456
758,774
502,1206
630,956
716,774
1288,1476
1014,1194
734,1344
558,1484
986,1588
1060,1476
1202,1324
908,1350
580,1294
1086,1084
730,956
654,1382
614,1364
812,816
1174,1358
828,1348
716,996
736,1108
490,974
1046,1526
942,1072
880,1148
616,1202
1268,1146
1062,896
516,1232
652,844
668,1370
614,1322
408,1164
1086,1526
826,1036
724,1060
414,1056
488,1246
590,908
870,1206
1186,1142
1036,1618
640,1300
870,1006
670,782
1210,844
692,780
824,1480
1330,1220
1216,1296
1222,1432
954,1278
1096,1120
906,1510
572,1534
1264,914
478,1124
500,1358
944,1158
992,1578
1066,946
740,1322
630,1010
698,1424
510,1350
792,1642
1202,1418
700,862
858,1014
1170,812
728,1086
864,1136
800,1404
1026,1636
932,878
1038,1654
750,1660
530,1416
1026,1402
550,1332
486,1340
612,1492
636,1416
882,1188
1288,1210
688,1286
1106,878
450,1112
538,1364
978,1622
648,1144
770,1540
900,906
684,940
1348,1088
866,1378
1102,1156
988,1356
1116,984
794,1488
1250,1380
668,950
794,1454
584,1470
1118,1274
1322,1000
804,1240
924,774
502,1070
554,1430
804,764
1084,1632
612,1156
1226,886
828,1072
1154,1012
542,1172
966,1264
564,1350
962,922
812,1282
1002,1500
1142,888
478,1466
622,1330
1192,1068
1254,1228
902,1618
734,1054
746,1516
1338,1326
772,1208
1254,1314
594,1260
958,830
1158,1540
1012,848
1070,1636
1100,1554
764,1310
1112,1538
584,1390
1010,1544
998,1054
1354,1178
1008,910
1012,962
918,1110
1190,1108
448,1074
834,826
1214,1396
1104,982
1382,1174
968,938
974,892
926,1168
758,916
728,972
1290,1296
618,1570
908,1668
760,1240
1212,1552
930,1246
802,884
658,1130
814,798
522,1490
734,1174
860,948
1036,1588
1052,1184
740,886
772,1354
686,1622
1232,1094
1024,1280
920,934
780,888
1158,892
1170,1548
544,1038
1014,798
1116,1070
746,1128
1272,1128
472,1336
902,1642
592,1422
846,1526
1054,926
714,1256
624,1408
802,1344
806,928
510,1468
946,1442
766,862
1180,1300
632,1556
564,1060
1026,1578
946,1324
1244,1126
956,722
900,1182
460,1400
892,1540
836,1238
824,1532
1222,1524
596,1228
1210,962
1146,958
1170,1290
608,904
1086,1444
1016,1108
954,1580
846,1146
1330,1048
448,1368
756,1140
1186,832
538,1246
698,1390
956,756
1178,1072
1264,1466
1038,1426
876,1638
518,1104
1110,1452
