Y,X
584,1392
1308,1578
568,1152
574,1298
1170,1784
596,1796
822,1548
1306,1394
942,1146
1198,1416
548,1186
766,934
760,1380
1254,1554
662,1392
624,1318
946,1880
1018,1434
768,998
366,1322
670,1840
978,1552
892,1214
620,1736
448,1746
452,1648
466,1468
708,1554
480,1754
450,1586
1298,1340
494,1220
562,1410
364,1578
1076,1784
1236,1710
432,1330
1036,1478
1088,996
960,1306
716,1872
748,1850
1268,1560
1230,1556
1128,1430
374,1512
722,1508
360,1234
852,1904
542,1016
614,1314
1258,1582
876,1744
738,1026
812,1836
954,1448
1096,1628
958,1644
416,1256
966,1542
878,1668
968,1408
730,1018
1180,1262
978,1758
1012,1412
866,1868
572,1038
1230,1340
490,1202
1272,1628
950,1212
1004,1054
1084,1754
864,1176
1098,1472
568,1140
390,1632
1290,1326
904,1766
1262,1532
1028,1368
550,1816
864,1210
944,1072
894,1856
464,1570
1080,1680
506,1576
840,956
1098,1598
692,1100
632,976
768,1492
580,1558
642,1554
1020,992
1102,1556
798,1326
520,1446
1214,1402
1006,1390
514,1052
334,1370
450,1690
910,1278
698,1484
978,1108
1254,1420
876,1142
410,1216
588,1012
1068,1024
1190,1118
746,1324
938,1172
782,964
1068,1462
1236,1630
660,1550
864,1222
570,1712
908,1332
1320,1328
488,1762
410,1456
988,1876
854,980
678,1744
1074,1144
572,1324
446,1458
432,1622
1138,1144
894,1122
748,1688
822,1426
754,1606
960,1246
1056,1694
514,1518
666,1290
1158,1680
828,1352
882,1600
420,1484
988,1560
414,1392
1040,1122
598,984
810,1412
688,1720
938,1784
562,1094
802,940
1114,1348
700,1410
836,1620
950,1062
648,1780
1048,1718
424,1540
950,1814
1090,1546
592,1814
356,1572
396,1518
520,1040
438,1708
1128,1536
540,1404
1228,1584
1290,1282
596,1160
1262,1404
908,1392
734,1292
674,1636
572,1530
498,1230
594,1388
620,1726
1074,1234
950,1132
644,1480
562,1388
486,1608
982,1122
750,1286
1184,1726
638,1808
956,1160
1284,1454
782,1108
956,1792
736,1496
728,1804
1264,1638
1002,966
826,1442
1178,1524
718,1016
1272,1604
762,1552
612,1840
1038,1438
752,948
1088,1820
508,1488
834,1420
724,1592
382,1408
1304,1556
754,1544
450,1408
502,1272
1144,1066
450,1360
626,1828
840,1510
1242,1618
1240,1296
790,1456
1106,1634
764,990
714,1236
1044,1560
628,1286
732,1532
786,1740
344,1478
868,1674
824,1414
1000,1184
790,1892
686,992
1040,1726
1294,1226
1300,1536
758,1594
552,1762
540,1424
1278,1334
1082,1736
552,1488
866,1838
1216,1606
714,1728
1306,1346
1030,1136
622,1394
866,982
968,1140
866,1024
528,1778
544,1048
806,1688
530,1406
514,1076
706,1428
1044,1652
472,1724
944,1194
704,1690
1180,1682
778,1600
736,1556
906,1858
1008,1514
472,1486
738,1702
952,1528
426,1130
788,1802
1240,1246
528,1072
1004,1536
1056,988
1084,1202
1200,1394
710,1252
1218,1730
1198,1198
708,1398
880,1090
1022,1328
982,1414
644,1100
558,1082
1186,1388
472,1168
382,1390
1074,1372
804,1046
720,1652
726,1864
568,1648
382,1534
766,1184
1034,1214
420,1314
712,1804
948,1502
666,1412
618,1130
998,1458
800,1208
850,1294
338,1434
1052,1286
566,1280
1002,1112
932,1536
412,1594
810,1280
664,1474
526,1054
690,1826
864,1276
1200,1474
720,1604
912,1792
646,1028
1104,1224
1302,1432
1094,1496
1158,1616
730,1754
348,1372
824,1856
1254,1658
796,1268
738,1670
716,1476
498,1630
810,1174
640,1726
1160,1198
582,1624
904,1116
1000,1746
1318,1426
942,1762
612,1852
1118,1418
816,1352
838,1782
920,1510
1118,1242
430,1288
528,1130
844,1756
1032,1636
740,1068
426,1224
692,1030
708,1044
818,1538
678,1168
950,1310
724,1714
1282,1616
468,1702
964,1656
1046,1518
444,1164
742,1474
1184,1170
1062,1758
1208,1682
1060,1388
988,1814
1098,1296
1252,1492
892,1134
1080,1062
1082,1452
680,1114
876,1640
1038,1276
756,1730
996,1012
1160,1252
778,1580
1106,1092
1204,1358
1278,1356
738,1774
1120,1766
398,1602
820,1882
820,1706
878,1436
1078,1188
852,1004
1128,1350
630,1362
774,1320
920,1362
550,1564
862,1248
1080,1428
394,1568
672,1000
718,1634
1266,1460
1094,1252
1136,1688
698,1440
686,1458
832,1802
1142,1274
1164,1512
474,1616
344,1452
802,1152
990,960
976,1306
590,1280
732,1338
454,1204
1050,1196
508,1322
840,1256
1140,1094
606,1460
716,1278
590,1504
760,1624
820,1584
376,1350
1152,1784
1098,1416
384,1576
1086,1634
620,994
776,940
692,1250
1114,1308
788,1140
628,1180
1212,1650
570,1684
526,1682
1114,1662
808,1804
718,1850
952,1414
988,1052
1178,1588
1208,1426
806,1084
820,1866
878,1280
866,958
458,1130
488,1356
1186,1414
940,1632
740,974
544,1688
946,948
536,1266
1104,1052
1010,1820
696,1746
716,994
534,1114
420,1206
1116,1230
714,1376
660,1838
1132,1128
548,1200
482,1462
1114,1508
484,1482
666,1564
462,1738
1044,1160
1250,1604
562,1508
1048,1058
662,1802
710,1776
1044,980
1138,1780
806,1546
480,1374
756,1036
738,1222
1164,1706
562,1190
528,1382
514,1644
542,1290
922,1706
798,1480
1088,1670
710,1416
1064,1118
1066,1704
628,1434
1046,1330
1096,1144
858,1492
1094,1114
1006,1708
486,1706
366,1460
1100,1272
1232,1654
1126,1082
760,1404
1222,1260
1232,1688
866,1388
1270,1430
734,1122
1052,1848
894,1598
672,1232
726,1428
740,1090
552,1614
746,1102
1222,1476
692,1184
750,1176
1048,1744
620,1766
690,1636
618,1228
546,1660
854,1700
1268,1418
1292,1398
1072,1750
346,1522
980,1704
1004,1558
690,1234
1306,1270
860,1156
1050,1306
666,1768
874,1890
1152,1204
848,1686
590,1026
722,1116
1100,1484
606,1022
536,1028
760,1330
