Y,X
1264,1584
1286,1582
886,858
666,1622
924,1364
1352,1546
1338,1086
1180,1490
670,1268
1128,1676
762,1314
878,1038
428,1180
866,1470
1204,954
1314,1424
882,1194
1258,1028
1038,1440
918,1148
882,848
1186,1080
518,1584
1026,1102
846,900
1180,1530
1286,1526
1010,1316
1248,1442
1230,1094
848,870
672,1288
648,1524
880,1434
1066,1328
586,1330
1388,1382
508,1574
1244,1128
1054,1312
882,1566
940,924
1054,892
874,1698
980,1812
1318,1338
1210,1352
832,850
432,1464
942,1814
1032,1128
1000,1266
778,1512
1102,1614
446,1132
1336,1326
614,1002
472,1338
1080,1430
440,1524
1240,994
900,1672
1098,1090
1148,1474
736,998
684,930
768,1048
1390,1336
910,1584
922,844
1252,1372
1292,1216
888,1220
618,1104
490,1174
942,1292
1054,1516
772,1174
1386,1398
966,1038
798,1756
1278,1540
612,1694
1148,1194
1246,1516
838,1564
824,1432
828,974
854,858
1136,1504
1112,932
1300,1188
1000,1782
842,1194
1388,1270
1188,1296
1194,1068
654,1224
966,1584
1332,1592
768,1352
852,1186
1322,1078
620,986
760,1056
1314,1490
550,1152
1368,1224
752,1602
868,1550
1340,1396
642,1726
582,1436
1216,1272
1216,1004
898,1586
664,1214
714,1526
676,1276
720,1470
666,1412
1194,1250
1124,960
524,1038
668,1646
1352,1454
886,1046
786,1170
546,1216
1160,944
1128,1650
520,1028
1208,1320
648,1320
776,1658
1384,1208
1312,1382
1346,1244
520,1556
570,1160
1018,1692
964,1230
472,1066
1166,1550
734,1334
1294,1050
1080,916
1226,1626
872,1172
1078,1014
874,914
654,988
536,1120
1282,1628
808,1484
712,1498
996,1606
960,1200
1268,1510
430,1280
1142,1058
788,1296
684,1628
854,1108
744,1584
1084,1390
764,918
1040,1376
950,1280
492,1046
712,1250
1036,974
1118,1296
1068,1048
678,1176
576,1412
684,1222
1078,1370
728,1046
560,1354
1268,1488
668,1246
940,1276
986,1460
892,1460
750,1182
542,1374
716,1020
1292,1512
964,858
726,1454
632,1296
570,1586
576,1236
1268,1004
804,1104
694,1438
940,1022
924,1690
870,1332
674,1002
1016,1236
618,1648
1002,1734
1188,1212
804,970
490,1232
1178,1710
1012,1344
1054,1668
1090,1040
998,1326
920,1182
624,1286
1286,1396
952,1416
976,1398
1202,1460
540,1004
1142,1564
546,1242
946,942
996,1674
600,990
1048,1056
810,1322
1278,1316
824,1760
940,908
740,1254
804,1538
1352,1220
1230,1694
660,1462
1072,952
1304,1236
830,1028
404,1364
1122,1732
800,1358
1200,1442
568,1642
562,1384
1070,1582
550,1324
904,1204
786,1206
732,1090
892,1712
1144,1526
828,1184
1338,1516
1178,994
620,1078
540,1414
664,1738
776,1684
798,1424
1066,1212
990,958
998,1300
1160,1310
1000,1548
1020,1326
618,1582
1372,1386
896,1410
642,1676
992,1182
788,994
518,1200
696,1668
818,1420
1252,1172
834,1670
852,1404
1324,1096
910,1082
810,1694
912,1754
1318,1410
586,976
746,1052
534,1670
728,1216
1348,1480
1148,1732
710,1436
872,1406
814,1252
798,900
988,1348
642,1058
590,1292
458,1560
1128,1154
1190,1238
1034,1616
1332,1314
1034,1330
828,1322
902,1278
1166,1414
1038,1208
1014,1670
560,1010
1146,1008
552,1284
762,1406
834,1544
1186,1134
1330,1174
962,1486
780,1386
444,1254
646,1642
906,872
824,1142
712,988
492,1434
1188,1414
1012,1440
824,1630
1114,906
766,1070
872,1086
1136,1484
784,1008
1312,1214
512,1504
622,1484
546,1578
1042,1518
620,1310
1176,1020
452,1432
764,980
476,1410
1002,1180
1268,1304
856,1172
1240,1114
804,1788
1222,1596
582,1612
916,1546
1082,1500
1164,1458
970,1500
838,1240
664,1722
970,1074
898,1044
662,1188
698,1180
1200,1120
1166,1472
1220,1040
642,1240
1198,1580
664,1578
566,1316
938,1642
592,1602
1126,1382
1138,1622
984,1586
1296,1156
1114,1046
1138,1376
994,1168
1356,1286
978,1180
1182,1060
878,1156
898,1028
992,1388
1116,992
