Y,X
732,1322
676,1108
482,1526
918,1164
940,1024
462,974
684,866
1078,846
1174,916
612,716
1220,1280
500,1482
892,862
626,812
440,1002
980,1180
354,1284
1110,1024
346,1394
638,1336
282,1206
404,854
410,810
1086,790
1058,1100
766,1196
906,812
1030,1148
374,1076
824,1192
684,1646
468,758
1030,756
828,902
884,716
812,1190
672,1238
400,1498
1116,1368
560,720
366,1218
770,706
1204,1370
364,918
946,864
1204,972
478,1348
516,1124
368,960
428,1424
932,1210
862,1102
910,1276
1144,1032
572,716
582,748
934,788
724,1392
512,796
584,996
1144,1226
772,814
1012,1468
746,716
1188,1056
1154,1202
684,1488
1200,944
360,1138
364,938
432,1508
472,1224
598,1156
914,764
522,1508
608,706
352,1030
320,960
632,938
674,1080
416,944
824,1206
1080,832
856,992
936,1628
304,1080
646,1218
592,1502
894,1570
1064,1262
516,776
778,1512
438,1194
1058,1498
920,1472
284,1116
810,714
730,1310
490,760
790,1198
424,906
860,716
640,800
460,1540
902,880
334,1282
280,1168
320,916
668,1120
320,1168
618,768
704,776
654,722
1010,1252
978,816
910,1184
936,932
734,884
844,1552
944,1110
804,1052
1092,956
528,1208
934,1228
994,1018
316,1062
808,1346
454,814
940,1208
984,740
436,1320
448,1436
1140,982
342,928
664,1046
724,1572
610,1624
322,1358
1140,1190
306,1250
1158,968
1148,1330
564,1480
454,1040
736,1228
790,1130
576,1084
702,688
1232,1208
664,1356
806,876
928,716
1004,770
488,1548
1074,1344
862,848
1172,870
564,1060
432,976
516,766
1212,1326
800,1622
324,1276
708,860
724,734
646,1068
936,1172
826,1058
722,1086
924,788
770,1564
1052,1532
574,1280
628,1080
1174,1404
870,994
508,1260
486,1278
692,1122
944,1448
872,1346
354,1306
466,780
782,1138
1150,862
414,1026
520,942
294,1266
1052,1470
562,1308
1082,1516
714,1272
526,1278
940,876
880,1142
958,1112
1230,1100
658,1610
756,1080
516,884
428,880
1126,1090
596,1612
744,1576
784,820
1212,1270
1038,882
1192,1224
1034,1564
1028,1526
424,1066
962,1460
912,1022
604,1252
572,738
780,1574
354,1234
1062,1066
454,1164
1010,890
974,1220
1126,1386
1020,764
910,1304
1132,832
406,986
966,1128
1210,1360
902,1344
426,1218
980,1476
926,878
908,1486
582,1596
1152,1424
860,828
346,1294
644,708
792,690
434,794
752,866
884,1018
746,922
494,1322
828,1432
558,1106
450,990
776,724
678,1442
1018,1090
620,1564
960,1216
296,1314
748,1326
404,1238
482,1148
892,772
462,1110
966,1318
454,1356
762,1144
1070,1218
648,930
584,824
1126,1028
902,728
816,900
682,1144
700,1484
494,1112
1000,798
1060,1540
770,852
668,1102
352,1384
300,1016
1116,844
1086,1000
1190,1160
786,1474
492,800
838,1280
606,1532
1138,1096
650,1248
716,1354
952,998
1108,950
790,1648
1232,1230
790,1160
402,922
804,1182
748,1600
700,1556
358,1046
782,1330
864,1038
670,1204
1130,872
1214,1344
810,1448
430,826
1064,986
568,1520
682,974
922,776
1214,1210
788,738
894,1126
636,884
322,1104
912,790
488,1212
632,1142
540,1328
1072,1052
436,1442
990,1056
652,844
1074,1138
732,1458
422,1312
980,1378
984,1344
960,828
270,1070
888,1400
788,1410
456,1416
532,1298
672,1298
756,1010
868,1258
1180,1026
548,1012
460,1190
510,1026
1174,1206
282,1046
538,884
768,972
1108,1128
646,1614
728,1492
484,946
866,1424
1116,1232
336,988
390,1226
954,1438
422,1396
692,1456
380,1134
524,964
586,1446
872,712
1008,1394
396,1292
354,894
1114,962
1160,1138
366,860
1120,1220
720,1180
562,1408
452,1012
560,760
486,812
316,984
528,992
486,872
876,872
1172,982
844,930
890,926
370,1250
352,992
1212,950
314,932
1148,962
880,1556
992,1422
1054,1268
736,774
584,1476
806,1094
918,1604
728,822
906,934
1082,882
510,978
998,1322
740,1412
854,1396
894,810
866,1216
334,1088
826,800
904,1048
764,1264
584,1570
604,1516
1002,1268
1016,1504
1006,1010
346,1210
1076,1406
758,1646
954,908
964,964
838,910
776,828
1110,1416
724,1526
370,1426
1176,1390
500,1080
888,1318
1004,936
472,834
1086,1188
1160,1052
296,1184
580,1044
1028,1448
856,1014
854,1488
1038,1470
750,950
758,1584
782,958
648,1516
1032,842
1094,1124
1018,974
952,1356
776,1058
920,1324
960,1370
604,1340
592,718
856,1162
632,1560
730,940
910,1292
930,1030
1092,1174
744,732
688,1008
1058,1354
660,1088
468,1392
446,970
406,1442
884,988
722,1030
536,1352
1080,1304
990,1152
780,1106
1028,1002
282,1080
528,1394
1016,1406
1068,838
470,1374
672,802
962,1422
518,1324
368,1314
1058,1396
434,1158
694,928
1084,1206
848,1648
708,902
1180,1008
872,1168
906,856
1154,1270
412,1014
694,946
1122,900
634,1598
720,1318
632,838
934,808
1042,1238
822,1624
758,770
1058,944
924,1522
918,1414
522,1304
454,1230
1182,1184
1098,1234
1112,1078
408,1356
492,1408
920,1128
534,1080
734,1046
534,976
338,1148
352,976
858,858
548,1044
886,1052
842,1114
842,706
684,1192
610,978
270,1206
318,1052
626,796
486,1570
656,794
1226,984
596,758
808,1258
1138,844
734,1130
1072,916
364,1112
1242,1088
876,1378
602,1236
1162,1110
824,1346
742,1488
690,740
352,1018
850,786
622,1590
558,1000
478,1256
594,734
690,696
288,1068
372,908
626,1262
492,1230
576,1306
860,1580
526,1058
1154,908
928,924
1134,1212
1136,890
558,788
650,746
1130,994
444,1112
730,1604
652,1626
982,1460
422,1008
910,1202
1010,1488
594,778
1160,1256
966,1530
932,1550
610,868
524,758
974,1310
534,1476
702,1596
894,1164
1148,1020
930,1406
616,750
450,852
790,1368
412,1424
1160,952
606,1594
794,878
582,788
978,1422
692,778
