Y,X
1272,1014
1242,1286
1012,1426
660,914
676,1500
764,1050
616,1506
1290,1430
1310,1236
800,836
754,1186
884,968
430,1504
1224,1446
1202,1286
680,930
856,1258
458,1148
576,1674
462,1020
356,1130
1060,1034
908,782
932,808
1018,1094
974,784
1206,1468
636,1666
1250,996
978,916
1300,1268
480,1292
350,1386
564,1640
798,1002
1096,1666
652,906
1334,1282
1194,1212
1144,924
568,1622
1014,1028
1266,1294
388,1050
948,1086
772,1144
960,1110
964,878
858,914
942,1362
946,1390
1138,1572
460,1294
1016,1468
736,930
886,1124
698,950
652,1508
1058,1348
462,1260
392,1190
410,1178
578,1600
512,1262
482,1274
742,998
690,1252
734,1366
1000,1450
1266,1144
1240,984
732,916
1202,1132
862,1240
702,1674
1210,1564
836,1614
394,1004
804,1440
786,1706
852,1032
1142,1632
928,854
1074,868
500,1342
1242,958
852,1676
756,1432
594,920
828,1052
608,1514
348,1182
504,1236
900,806
686,1614
778,936
980,1320
780,1442
710,910
576,1126
448,1198
1156,1332
1132,1588
934,1680
1136,1154
1038,1616
582,1464
1276,1230
840,1430
704,1006
420,1052
572,1318
392,1150
800,930
1036,1516
604,1300
1294,1202
670,1692
754,1376
792,1516
422,1508
786,996
1112,928
784,880
1140,900
1096,1384
1086,858
1132,1342
762,914
1068,832
946,868
666,1372
778,1660
1006,1112
904,1342
672,1238
742,1236
606,1186
888,1474
1100,1584
856,812
510,1208
766,890
564,1260
682,1338
822,1220
1032,1372
1290,1072
1232,1284
992,1566
832,888
1300,1128
582,1638
946,1154
998,1234
854,1012
1188,1192
946,1422
944,810
448,1068
568,1504
798,1372
1016,1530
520,1204
604,1676
874,880
1182,1352
928,1006
818,944
1164,1548
418,1256
672,1450
1046,810
1038,892
804,968
854,850
646,1660
448,1494
512,882
934,1034
876,1656
1228,1220
660,1598
1192,1540
840,778
1010,1062
476,942
1184,1122
1228,994
340,1320
1240,1250
930,776
868,1566
736,802
1154,1522
772,1110
754,1658
524,1368
670,1674
804,1148
1058,1644
1012,1240
1020,1392
1078,1016
842,1332
780,1210
1148,1606
752,1268
996,1098
1024,1686
1030,1432
802,780
362,1224
754,1706
736,1536
846,1094
540,1318
598,1368
864,1108
820,920
1212,1154
684,1488
500,1404
630,1068
664,814
966,948
944,1016
398,1488
998,1542
700,992
684,896
698,1270
886,1158
1008,1694
762,860
1312,1358
590,1196
1156,1108
632,1580
664,856
1252,1194
1054,1300
642,996
516,1574
1192,1390
836,1706
1246,1326
840,1168
1044,826
952,794
1084,1386
1076,1366
1304,1324
1248,1506
550,1166
1032,836
1016,1410
370,1190
648,1330
816,1722
794,1630
532,1280
546,986
1056,1098
1140,1532
976,1642
774,1240
1024,1456
966,1444
1278,1358
956,1400
668,1512
394,1446
486,1418
950,1564
786,1676
550,952
824,1636
1032,1350
1008,1204
906,1124
928,1194
426,1436
694,1518
538,1596
504,982
548,1230
798,1108
688,1668
964,1644
778,1552
1188,1586
824,1008
1178,1388
1066,1288
528,1446
1092,1154
984,954
850,904
514,1172
458,970
860,1098
464,1388
954,858
360,1406
1206,946
1268,1402
1118,1354
446,1306
402,1110
422,1308
678,1080
664,1258
660,1422
1096,1366
1102,892
1182,1460
1192,1468
1034,1548
812,774
886,1648
880,788
644,1540
724,940
720,848
700,1196
574,1494
430,980
1110,1110
554,846
984,868
1098,922
1010,1478
1106,1376
984,1046
1254,1120
396,1234
658,1398
654,946
1140,970
604,1156
1168,1054
778,1182
1246,1442
804,1684
1204,1000
1028,1506
586,1274
1068,926
1284,1056
468,1118
858,1172
844,1384
1052,1138
480,1380
362,1358
694,1104
1164,1594
786,1280
724,1082
1102,866
386,1338
842,1188
740,842
586,1168
1238,1162
1138,1030
764,1650
1276,1254
816,1066
1276,1172
950,1534
1126,976
1042,1656
594,1284
604,1626
952,1548
816,1492
1086,1346
964,1206
1068,1620
996,1306
1062,1544
848,1106
998,1016
760,1008
628,1006
670,926
700,1408
1088,848
670,1574
982,1358
988,926
640,1456
690,1242
1214,1422
1232,1326
1220,1070
1126,1284
756,808
878,984
918,1096
1126,950
750,1018
812,902
710,1430
656,1278
974,1662
740,1584
490,1188
1054,1050
878,1542
558,888
1202,1446
718,1158
956,1360
1090,1596
1114,1388
958,972
1164,1568
528,1532
1098,1298
1058,1482
1174,1292
924,934
1054,1080
1114,1136
560,936
1148,1584
452,1328
920,1256
1028,1288
1054,1270
1026,1230
1156,1042
904,944
522,1348
724,826
676,836
612,820
766,1190
944,1350
1282,1290
960,1056
454,1226
1002,1362
730,1404
900,982
1096,1544
596,1668
798,1416
474,1022
922,870
686,1124
778,1080
616,1018
724,1042
554,902
574,1022
934,1568
672,1556
578,1526
950,1658
1122,1022
1308,1296
1272,1214
718,1308
964,1542
576,942
900,1658
1194,1236
1120,1594
1234,1148
1158,1616
554,974
438,1332
1074,1188
606,1172
874,1670
450,1082
800,1576
736,1552
394,1202
600,1094
522,952
840,1626
654,1000
816,886
970,1048
538,946
940,1596
520,1048
436,1430
462,1082
486,1370
668,996
