Y,X
1156,932
1242,1110
374,1122
1124,1578
1118,1268
1036,814
1152,912
1094,864
1170,1426
946,938
980,806
828,844
722,882
1166,1138
1078,944
1160,1156
1038,912
1184,1420
1196,1314
1252,1170
1274,1268
1210,942
1116,874
1234,1208
1144,1216
1224,1138
762,876
1322,1162
1020,1704
1200,1400
700,892
1006,898
646,920
960,936
1210,1356
1218,1328
1128,890
1258,1086
854,1348
1272,1288
1072,832
784,850
1328,1196
392,1056
1046,824
986,870
1296,1228
1008,824
1210,1390
710,1554
880,932
1150,1198
1166,1412
780,1094
1156,1444
700,804
1030,832
1016,948
932,934
974,1298
982,940
1108,838
518,928
626,1394
996,1696
834,1182
1198,1424
688,898
844,924
934,1416
692,1284
1160,1466
998,942
912,868
890,772
1232,1376
542,1016
506,904
1068,1326
1184,1034
606,1510
1046,1436
636,854
1088,1636
580,928
612,1422
1096,1408
728,1692
602,1232
890,1656
848,1586
456,1428
634,1654
416,1048
396,1188
1132,1366
