Y,X
836,828
1380,1032
1402,1208
1516,1360
1464,1146
1136,862
688,1588
1376,1078
1234,904
654,902
1384,1134
1526,1288
1064,802
1390,1224
1408,1290
1176,868
1456,1072
1462,1242
798,996
612,956
1288,1620
1354,1042
1508,1384
1392,1308
1366,1160
1376,1058
700,1592
1250,818
1026,808
1352,1232
1044,1096
1428,1334
1076,1438
1358,1402
1442,1388
1438,1308
1428,1352
868,1680
1406,1346
1316,1428
1398,1550
632,1146
1290,820
1522,1104
1014,1704
1452,1402
1116,1558
1420,1110
712,848
738,846
856,1200
1350,1524
1216,1160
624,1078
1456,1052
1024,1450
952,1652
