Y,X
484,872
460,1442
932,694
382,1178
778,1644
810,1232
646,1066
1242,1134
554,786
676,1450
1276,950
1220,962
378,1126
1172,1442
1278,1036
906,1620
1166,972
888,952
618,1284
628,1198
474,1460
522,1490
740,1510
960,1082
874,1284
754,1340
1280,1456
480,1430
1192,1436
1254,888
1280,1472
1218,1428
924,1090
1218,1148
742,708
1068,800
1248,954
1246,1512
1278,936
1296,1442
628,820
736,974
834,1318
748,1250
1212,1236
1104,872
672,1318
814,1304
1296,1058
1212,1534
866,684
776,1278
1318,1398
1288,1320
516,1000
968,1064
1206,1204
1336,1274
1354,1020
1060,988
1238,1250
524,1482
1150,1454
852,1248
1050,1472
492,888
1194,1204
1378,1176
996,1260
944,696
864,940
480,1328
394,1048
992,708
730,770
582,1564
1284,1400
1226,1046
740,1020
872,970
788,1342
978,770
724,706
952,1084
566,1116
640,1124
1182,1086
814,1346
948,996
756,938
506,1468
1220,816
404,1062
1254,1122
1006,708
1022,1190
1236,930
1184,1422
600,1016
814,714
642,1556
966,1050
750,928
960,1498
632,1572
612,906
1096,1032
1294,1396
1162,872
910,714
828,1254
1152,1144
862,1394
636,1232
686,776
852,1290
1126,1228
582,1294
684,1446
756,1166
914,1510
902,1436
1086,1096
454,950
450,1302
782,718
976,1150
660,1380
1066,1038
938,842
1196,990
1104,806
1244,890
772,900
652,1598
902,954
1122,878
830,1068
1080,1032
1144,1104
790,894
1224,1104
420,1030
1302,1068
992,762
1198,1032
984,1218
1224,1080
1106,1192
962,854
1346,1264
788,1278
998,1592
460,1254
864,1502
1052,1598
620,742
1330,994
1332,1078
920,1524
1224,1518
1172,1314
674,1172
1142,778
660,1116
1026,1468
600,966
1156,1430
1162,1218
1076,1130
1122,756
1222,836
1026,1092
848,984
1284,1098
1042,806
1352,1126
838,1136
898,930
808,740
664,1412
1114,866
918,1064
520,816
960,844
1178,1024
1070,1528
790,1506
694,1304
572,1230
560,864
630,752
1230,1420
844,908
394,1070
648,1116
872,1416
508,1510
404,1038
736,836
612,936
734,1626
598,850
906,1254
860,852
848,1278
848,1220
876,718
732,1532
458,1242
1260,1156
784,1210
766,1098
542,1056
892,1556
942,1272
546,800
1044,984
712,1594
1236,1406
1192,1464
780,800
1152,828
1284,1132
636,1346
1054,1182
1108,898
986,784
812,758
762,1532
1130,986
886,986
678,1248
1154,1572
522,1328
864,896
658,1342
692,1198
1066,1448
1354,1102
878,1072
1044,1496
880,918
772,962
950,1266
526,1368
432,1216
1320,1258
786,1304
1132,1478
686,1260
1134,1548
754,790
616,988
1132,1258
962,1262
1142,864
990,962
1144,846
1226,1002
454,960
1118,994
864,1378
692,1010
722,950
598,1162
992,1082
824,1638
796,1076
630,898
472,1392
750,872
848,1534
910,1200
760,894
1102,818
1198,1550
696,740
744,898
1210,1174
1200,952
850,1480
1138,924
896,1620
608,1544
1368,1242
712,1096
1134,1218
760,1570
852,1136
942,746
1162,998
460,1188
904,788
742,1354
756,1150
852,1588
802,980
1232,1162
914,1454
594,1304
468,1310
456,1066
1276,1018
1354,1310
1204,878
1236,1024
1232,1184
598,900
660,976
680,1342
930,1354
1102,1488
