Y,X
658,1076
930,918
1058,1160
778,1678
1216,1146
552,1776
632,1352
1240,1394
1082,1056
838,1520
954,1770
1238,1352
1030,1204
396,1630
444,1212
680,1096
976,1366
988,1640
686,1032
1014,1560
1248,1344
1166,1622
436,1708
264,1428
322,1082
690,1418
860,1546
986,1162
966,1176
904,1686
538,982
900,1672
1072,964
540,1600
1040,1154
438,1060
850,1782
398,1680
722,990
876,1700
1188,1438
930,906
1024,1588
634,1278
732,1156
528,1660
662,1472
1056,1350
992,1298
452,998
612,1106
1234,1206
1136,1640
492,1380
474,1508
572,1000
690,1728
886,1274
1030,940
1070,1248
828,1608
920,1404
944,1162
668,914
304,1382
1168,1608
1024,1288
904,1610
436,1436
924,1796
352,1246
774,1260
958,992
1050,1516
882,1730
632,1324
1046,1608
882,1448
806,1334
734,1550
702,878
582,1138
1070,1638
1170,1320
876,880
680,970
362,1480
634,1786
1134,1624
724,1150
754,1168
646,1198
700,1390
1022,1664
444,1564
350,1486
520,1418
934,1628
906,1530
668,1108
654,892
1020,1150
912,1502
710,1024
712,1800
620,1552
768,1120
650,1100
434,1696
734,1608
558,1408
962,1584
512,1352
1042,1718
310,1524
304,1108
590,1604
944,1450
1002,1352
682,1506
312,1454
938,1494
798,1796
1092,1544
1040,1038
444,940
700,1026
1096,1128
338,1212
1214,1460
1124,1164
1030,1396
842,1402
250,1330
864,1114
604,1624
450,1466
392,998
858,1440
458,1024
396,1206
484,1670
892,1248
360,1534
936,1412
1012,1360
902,906
416,1360
448,1358
878,1712
786,1196
654,1354
692,1448
400,1028
1148,1058
1134,1538
646,1632
456,1226
362,1104
946,916
356,1360
976,1454
630,1128
496,1420
1204,1384
1008,1498
1152,1422
974,922
848,1148
352,1546
750,1394
1000,1028
916,1566
358,1036
1052,1626
420,1674
1192,1480
978,1138
474,1728
760,1304
880,1434
914,1092
440,1014
970,1346
942,1178
888,1204
770,1022
1008,1192
754,1374
728,1360
712,1204
568,1450
684,1808
988,1110
704,1716
518,1094
1156,1616
1168,1290
1010,1548
722,1290
298,1330
490,1616
802,1826
740,1256
388,1506
1214,1354
902,1066
906,1796
724,1702
1030,1734
952,1060
888,1412
466,1718
412,1714
1066,1044
570,1516
478,1118
716,1388
422,1314
894,1694
720,1592
1182,1234
1094,1238
672,1570
446,1456
1110,1408
828,1218
1018,1216
688,1428
550,938
1048,1012
782,888
640,1046
552,1680
990,1440
538,904
470,1354
738,1664
752,990
892,1384
934,1206
696,1328
702,1760
514,1700
354,1218
748,1408
596,1138
740,1420
462,1004
780,1490
334,1090
918,1684
918,1228
1008,988
1130,1094
818,1572
1148,1440
830,1310
1074,988
642,1310
830,1264
540,1110
620,1028
972,1302
856,1556
966,1556
394,1266
1208,1270
1182,1156
1076,1312
1224,1476
304,1480
694,1118
822,930
562,1576
352,1314
822,1116
1206,1484
1122,1270
872,1628
496,1544
890,1118
290,1430
394,1348
542,1454
700,930
318,1204
1178,1354
1154,1506
690,964
942,892
272,1262
584,1216
508,1714
990,1274
590,1432
986,1316
442,1502
894,1808
512,1068
546,1062
424,1272
1118,1464
1154,1210
1084,1094
1186,1392
1032,1076
534,1380
960,1476
290,1240
362,1064
974,1608
766,1250
726,1090
328,1602
316,1154
698,1314
668,1360
660,940
604,1398
428,1004
700,1258
1102,1022
846,1224
892,984
866,1666
1120,1642
1132,1360
632,1460
576,1400
704,986
524,1116
514,990
742,1594
516,1582
568,1436
1092,988
778,1180
670,1120
526,1616
888,1652
318,1426
662,1798
920,1668
648,1676
1134,1578
742,1518
806,1700
1094,1030
1032,1492
366,1188
368,1264
824,1078
866,1206
1200,1132
724,1376
478,1464
514,1614
754,1114
586,1074
1158,1104
490,978
462,988
1102,1502
742,1532
1004,1306
1012,958
1006,1268
534,1588
764,1064
766,1668
826,1292
864,1148
334,1284
754,1812
612,1680
668,1096
488,1016
586,916
800,1100
524,1688
400,1528
990,1042
470,1018
1054,990
894,1536
1058,1644
408,1616
