Y,X
1398,1118
1170,1716
1344,1352
1208,1596
1332,1598
570,942
872,1020
1204,1670
1148,914
1276,928
1380,1450
450,1372
1290,1164
758,1364
960,1138
1150,992
746,842
938,1688
764,1568
582,1392
1164,1030
1004,1148
1206,908
1242,894
1188,1048
812,1526
822,1564
592,1624
1030,1152
1158,860
994,1246
760,1372
1386,1152
518,1260
1054,846
1252,1460
588,1614
1146,924
520,1366
764,1116
838,1232
486,1516
878,1248
580,954
754,1132
1382,1504
1328,1376
1280,966
612,1308
1178,1154
438,1272
896,808
780,1078
932,1364
1106,1708
1430,1290
944,1346
952,1186
1298,1358
810,1610
1114,996
978,1092
968,804
556,1546
1126,1128
546,1444
908,1572
584,1512
776,834
1196,1664
1114,972
682,1322
846,932
1068,1570
1156,1374
1094,1486
1322,1024
936,1136
1254,1642
1246,992
932,886
1200,1232
854,1652
798,1198
1190,1410
508,1512
816,1680
578,1156
842,1108
792,850
676,882
1050,1476
1190,876
600,1014
808,1192
732,882
452,1256
698,1570
864,1632
1278,1296
604,1662
910,1474
1278,1462
742,1712
1112,1528
1138,882
688,1522
840,1036
748,934
846,820
1098,846
1076,1520
470,1170
760,1452
1112,848
730,1340
554,1056
968,1744
1404,1468
742,872
1138,1548
474,1102
1016,1722
1176,1566
870,922
646,888
1044,1404
1232,1596
634,1096
1222,1182
962,1240
1016,1434
870,1738
1100,1722
568,1632
790,1178
1344,1296
1256,1256
1034,1132
1194,1094
770,1028
840,1138
842,1650
938,1700
1248,1370
558,1604
902,1630
1122,864
566,1214
926,1168
998,816
1210,1226
1096,1330
958,1000
1072,930
680,1058
996,864
1274,1612
938,814
1106,1170
1116,1718
1060,1162
1226,1678
984,1142
1258,1308
944,870
754,1566
1240,946
940,1024
924,1306
870,1604
866,1014
1094,1042
670,990
804,1686
796,1640
950,950
608,1094
1046,1052
942,1212
802,1498
896,1178
1346,1194
1002,1614
1308,1422
666,1628
1250,1550
1360,1030
832,1188
840,1334
762,1716
1246,1290
1024,1734
896,1326
454,1148
660,1132
952,908
906,932
572,1570
1114,1148
1234,906
1082,1706
1216,914
654,1172
486,1330
1008,1332
1112,1698
1288,1382
972,1344
764,954
860,1150
892,844
1406,1180
678,1532
1016,1172
1208,1568
686,1202
1328,1230
834,1702
818,1448
548,1576
732,1684
1296,1462
1320,996
698,1118
568,1126
760,904
1138,1112
470,1392
1202,1254
1292,1342
1222,1518
626,1358
798,1700
1300,1010
924,1500
1100,1190
1088,980
696,928
602,1518
856,1716
706,1154
1148,1142
614,1416
846,1060
1176,1662
594,1340
828,1390
1078,1506
1218,1666
1286,1614
1184,1492
968,1208
776,874
1044,1696
1030,1018
776,1150
1078,848
746,1324
1214,1088
1070,1052
724,1222
1214,952
932,1760
584,1066
918,910
1048,918
1034,1562
794,1048
620,1498
532,1260
646,1650
708,1242
818,932
622,992
880,1274
1228,978
798,1736
700,1350
910,1716
726,1366
1242,1566
1136,1638
612,1344
1310,1512
1156,1720
1150,1304
1078,1566
1238,1276
778,1554
680,1128
840,1720
786,1022
514,1224
1276,1096
1056,1112
1404,1198
710,1124
1388,1392
718,1308
894,874
1110,1204
936,846
796,1456
1180,1332
958,1452
1338,1068
624,1656
570,1240
814,824
888,1748
1066,1728
562,1278
920,1452
608,1616
1146,1428
1088,1696
528,1040
808,1546
460,1364
1046,1680
506,1176
686,1684
916,1194
798,1422
810,1096
684,1174
550,1392
712,1634
796,1262
1402,1128
1264,1466
1066,1536
610,1132
1114,1452
1316,1122
1022,1232
1200,982
1102,1318
488,1368
928,822
1238,1624
1024,1102
1016,1276
910,1596
1052,1384
1112,1658
714,968
722,1186
694,1078
1018,1628
648,1694
732,1146
1104,1476
1122,1670
1076,1740
918,960
1060,1468
1310,1196
1364,1046
820,1114
694,900
684,1046
1030,992
756,1018
530,1288
594,1396
1124,1544
896,1046
742,1220
1116,1022
658,938
1386,1422
1002,1266
678,1604
1120,1392
622,1336
1196,1072
1260,1028
698,1426
646,1336
1342,1206
1014,1642
662,1366
870,1064
1056,1636
874,1726
1152,1632
894,1618
666,952
518,1548
632,1402
1308,1084
1182,1612
736,1696
748,1494
906,1104
1238,922
688,1588
1328,1114
542,1282
1218,1278
1192,1476
772,1014
1154,944
574,1102
488,1458
992,1652
1038,1592
886,1664
976,1040
742,860
806,1442
796,1092
1346,1142
1062,1000
910,1166
756,1258
594,1380
1328,1456
846,1494
882,936
746,1038
908,1528
1264,1144
526,1322
774,1622
912,828
818,1186
984,1182
790,1436
624,1032
990,1132
1018,1572
928,1614
1050,998
1024,1594
886,1056
894,1608
1252,1336
942,1630
1014,1262
1130,942
1228,1636
814,1214
1070,1024
700,1028
562,1014
1176,1108
1224,1360
1186,904
1090,1586
510,1340
978,1676
1060,1026
920,1020
1250,1008
1284,1230
990,1668
1096,1004
720,1440
560,1500
1186,1322
1396,1260
530,1308
