Y,X
528,1032
510,1508
464,1346
902,1648
1210,1420
1412,1478
1020,968
654,1522
1014,1268
980,1734
768,1302
598,1086
1166,1186
1250,1186
514,1036
1410,1336
1402,1486
924,1370
864,834
1338,1564
1108,1556
1444,1244
1058,1596
834,1638
950,834
1284,1648
1052,1042
1192,864
910,1616
920,1068
1264,1656
1154,1162
1368,1268
1120,1528
694,1634
782,1504
1150,1600
666,1072
1314,1570
1050,856
480,1170
508,1416
540,1500
1062,1286
692,940
952,1154
894,1192
704,1252
700,1170
634,1178
984,1042
504,1148
1382,1048
1004,1192
544,1410
738,1710
1096,1752
1308,1546
766,1168
1260,1356
1234,1696
1220,1376
958,1688
1096,884
782,1632
856,1728
780,872
1298,1410
894,1684
1436,1218
820,1182
852,860
1128,1738
1282,1248
1358,1574
528,1092
750,1434
792,1104
934,1384
1246,1330
1232,1654
1134,1304
1258,1220
1074,1626
1320,1266
1412,1088
1304,930
634,1122
934,896
1042,1284
914,1664
824,1698
1214,1456
702,858
902,1634
550,1524
538,1536
1356,1350
1098,1406
502,1194
822,1158
588,1212
770,1706
946,1562
1238,1570
978,942
574,1504
1354,1096
1058,870
1320,1158
756,1384
990,1630
1386,1082
1282,1498
954,1640
1198,1666
1084,1232
1354,1296
1196,1424
594,1614
1440,1370
600,1602
594,1142
1320,1008
912,1260
1124,1146
546,1386
844,1550
858,1054
1364,1124
700,1424
1080,1734
856,1030
976,1528
1334,1324
996,984
732,1338
942,1726
840,874
1326,984
1406,1228
1344,1128
804,1386
804,842
1292,1008
1282,1402
1160,1412
1316,1406
912,1642
1024,1282
858,1176
530,1336
760,1584
1084,1292
794,1184
686,1408
1434,1384
1340,1244
1284,1552
642,1508
958,1778
1150,1698
536,1118
1212,1134
736,1098
926,854
802,1712
1030,916
874,1428
1006,1732
664,1030
1162,1150
1142,1532
770,852
640,946
980,1400
1422,1168
1096,1726
744,1544
836,1506
562,1572
902,1350
552,1540
964,832
1024,1344
560,1316
930,1570
852,924
622,1340
1044,1326
910,1016
1058,1736
656,958
708,1268
622,1438
1018,1326
790,1328
1008,1626
996,1584
848,940
772,1652
760,1084
1314,992
658,1640
1098,1684
984,1354
632,1096
756,1204
1350,1388
680,946
920,1694
1096,1336
1214,1442
1266,1076
1026,1532
1184,1440
1154,944
824,1394
1322,1448
1362,1524
1014,1592
764,880
1132,1644
1304,1050
1336,1008
1202,1394
1108,1368
1100,1160
1234,1182
1076,1652
1308,1502
1070,1428
1278,1324
844,1376
894,1528
676,968
990,1672
1370,1076
910,1294
506,1250
1026,1038
1342,1476
804,1598
968,1660
800,1236
1034,1102
1304,994
1354,1186
1386,1398
928,932
1054,1224
582,1260
978,1134
1284,1136
570,1354
612,976
1226,1114
930,964
876,1278
1198,1500
1276,1488
1034,1030
1060,1712
962,1744
880,918
1200,1232
1024,1266
628,1512
692,1180
1080,1418
1430,1428
566,1264
1240,1684
1008,1088
1096,1048
1072,1008
532,1280
1320,1128
