Y,X
684,1362
1094,758
636,1516
806,1002
466,1360
744,1366
494,1024
524,1090
454,1134
628,1386
558,1058
1144,1356
824,962
1136,1586
1322,1516
626,1210
466,1174
670,1624
1330,1056
1396,1088
1236,1596
1106,816
842,1602
684,1010
658,1240
1322,980
540,1114
554,1036
1326,1174
896,1050
1168,1408
990,854
1112,1230
912,810
1164,1012
526,978
828,818
998,1448
452,1298
840,1580
1028,1592
1056,1676
734,1192
1252,1246
1252,828
1278,986
904,1302
648,1514
702,1528
908,1160
1232,1500
1234,1386
1176,1062
1028,1026
800,766
868,1098
558,994
572,1470
1164,1034
474,1070
1022,1452
880,906
1040,1286
666,1314
1418,1354
748,1176
710,1474
684,1126
1172,1386
932,1322
1238,1408
1120,1208
958,1430
1326,1038
816,1594
940,1202
1016,1570
904,1340
1134,1194
812,1630
870,1490
1108,1080
912,1650
1384,1444
490,1422
1066,1466
1340,1338
840,1122
1146,1530
910,1528
1206,1472
