Y,X
828,1558
1314,1108
846,1538
816,1380
398,1286
714,1300
1322,1268
654,1400
1304,1028
1230,1408
540,1114
810,1692
672,1204
724,1080
1016,1288
420,1426
508,1128
1116,916
1292,1568
1270,1124
1040,1324
656,1226
720,930
1016,1092
834,1672
914,1478
654,910
1266,1024
1328,1238
1140,1596
1028,876
642,1574
808,1416
1016,968
1060,1432
804,1090
1212,1328
1282,1228
1332,1140
768,1226
804,1734
808,1224
640,1322
1060,1196
992,1338
604,1680
576,1050
1368,1350
924,1094
1110,870
636,916
1056,1010
1214,1038
824,1468
880,1532
810,1326
974,988
1314,1136
894,1678
780,1594
692,1394
556,1028
746,1184
716,1358
1104,928
964,1312
1122,1124
714,1416
842,1228
1148,1118
948,1632
780,1126
608,946
972,1484
620,1520
1348,1326
808,1662
