Y,X
1402,1552
1244,984
498,1386
1294,1522
1388,1518
1420,1434
616,1274
510,1100
1342,1300
788,1430
1348,1326
964,898
908,1148
1138,1168
754,944
778,1404
524,1362
1152,1790
1110,1442
1334,1660
564,1668
1308,1320
478,1240
1376,1494
1318,1126
1172,1256
504,1198
1326,1080
602,1344
438,1372
1026,1312
704,938
854,906
564,1134
996,1288
786,1488
682,954
780,1692
994,1642
1060,1004
954,1546
1080,1232
672,1114
632,1394
1190,1406
700,1558
736,1542
1028,964
526,1182
684,1680
892,1632
924,1564
984,1724
454,1498
